		 Market cap as of 9/17/14 	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement	Date of earnings announcement	Time of announcement		
CRUS	Index change	 1,410.0 	7/23/2014	After	4/24/2014	After	1/28/2014	After	10/29/2013	After	7/25/2013	After	4/25/2013	After	1/24/2013	After	10/31/2012	After	7/30/2012	After	4/25/2012	After	1/26/2012	After	10/19/2011	After	7/21/2011	Before	4/28/2011	Before	1/27/2011	Before	10/21/2010	Before	7/20/2010	Before	4/27/2010	Before	1/28/2010	Before	10/20/2009	Before	7/22/2009	After	4/29/2009	After	1/28/2009	After		
SCSS	Index change	 1,180.0 	7/16/2014	After	4/17/2014	After	2/5/2014	After	10/16/2013	After	7/17/2013	After	4/17/2013	After	1/24/2013	After	10/17/2012	After	7/18/2012	After	4/18/2012	After	2/8/2012	After	10/19/2011	After	7/20/2011	After	4/20/2011	After	2/9/2011	After	10/20/2010	After	7/21/2010	After	4/21/2010	After	2/10/2010	After	10/22/2009	After	7/23/2009	After	4/29/2009	After				
FNB	Index change	 2,090.0 	7/22/2014	After	4/23/2014	After	1/21/2014	After	10/17/2013	After	7/23/2013	After	4/23/2013	After	1/23/2013	After	10/22/2012	After	7/23/2012	After	4/23/2012	After	1/23/2012	After	10/19/2011	After	7/25/2011	After	4/25/2011	After	1/24/2011	After	10/25/2010	After	7/26/2010	After	4/26/2010	After	1/25/2010	After	10/22/2009	After	7/23/2009	After	4/23/2009	After				
UFS	Index change	 2,470.0 	7/24/2014	Before	4/24/2014	Before	2/7/2014	Before	10/24/2013	Before	7/25/2013	Before	4/25/2013	Before	2/1/2013	Before	10/25/2012	Before	7/27/2012	Before	4/26/2012	Before	2/3/2012	Before	10/27/2011	Before	7/28/2011	Before	4/28/2011	Before	2/4/2011	Before	10/29/2010	Before	7/30/2010	Before	4/30/2010	Before	2/4/2010	Before	10/30/2009	Before	8/4/2009	Before	5/1/2009	Before	2/5/2009	Before		
RBCN	Index change	 139.2 	8/7/2014	After	5/1/2014	After	2/19/2014	After	10/29/2013	After	8/7/2013	After	5/7/2013	After	2/20/2013	After	11/6/2012	After	8/2/2012	After	5/8/2012	After	2/23/2012	After	11/8/2011	After	8/4/2011	After	5/5/2011	After	2/16/2011	After	11/4/2010	After	8/5/2010	After	4/29/2010	After	2/9/2010	Before	11/3/2009	Before	7/29/2009	Before	4/29/2009	Before	2/17/2009	After		
ACN	Index change	 50,300.0 	6/26/2014	Before	3/27/2014	Before	12/19/2013	Before	9/26/2013	After	6/27/2013	After	3/28/2013	Before	12/19/2012	After	9/27/2012	Before	6/28/2012	After	3/22/2012	After	12/15/2011	After	9/27/2011	After	6/23/2011	After	3/24/2011	After	12/16/2010	After	9/30/2010	After	6/24/2010	After	3/25/2010	After	12/17/2009	After	10/1/2009	After	6/25/2009	After	3/26/2009	After				
FNGN	Index change	 1,880.0 	7/31/2014	After	5/6/2014	After	2/20/2014	After	11/5/2013	After	8/1/2013	After	5/7/2013	After	2/19/2013	After	11/6/2012	After	8/1/2012	After	5/8/2012	After	2/21/2012	After	11/7/2011	After	8/2/2011	After	5/9/2011	After	2/15/2011	After	11/8/2010	After	8/10/2010	After	5/11/2010	After												
MNST	Index change	 15,180.0 	8/7/2014	After	5/8/2014	After	2/27/2014	After	11/7/2013	After	8/8/2013	After	5/8/2013	After	2/27/2013	After	11/7/2012	After	8/8/2012	After	5/9/2012	After	2/23/2012	After																										
STX	Index change	 19,280.0 	7/17/2014	After	4/29/2014	After	1/27/2014	After	10/28/2013	After	7/24/2013	After	5/1/2013	After	1/28/2013	After	10/31/2012	After	7/30/2012	After	4/17/2012	After	1/31/2012	After	10/20/2011	After	7/20/2011	After	4/19/2011	After	1/19/2011	After	10/20/2010	After	7/20/2010	After	4/20/2010	After	1/20/2010	After	10/20/2009	After	7/21/2009	After	4/21/2009	After	1/21/2009	After		
PMT	SEOs	 1,610.0 	8/6/2014	After	5/7/2014	After	2/5/2014	After	11/6/2013	After	8/8/2013	Before	4/23/2013	Before	2/7/2013	Before	11/8/2012	Before	8/2/2012	Before	5/3/2012	Before	2/8/2012	Before	10/27/2011	Before	8/4/2011	Before	5/4/2011	Before	2/2/2011	Before	11/3/2010	Before	8/4/2010	Before	5/4/2010	Before	2/1/2010	After	11/5/2009	After								
