Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,11.39,11.41,11.15,11.26,1371600,11.26
2013-12-30,11.14,11.45,11.02,11.36,1560200,11.36
2013-12-27,11.59,11.70,11.06,11.15,2102200,11.15
2013-12-26,11.50,11.75,11.39,11.59,2078100,11.59
2013-12-24,11.35,11.43,11.27,11.40,624500,11.40
2013-12-23,11.40,11.51,11.30,11.36,1074600,11.36
2013-12-20,11.05,11.39,11.01,11.34,6771300,11.34
2013-12-19,11.02,11.11,10.94,11.01,1985400,11.01
2013-12-18,10.99,11.23,10.81,11.06,2287100,11.06
2013-12-17,11.18,11.24,10.92,10.95,2230500,10.95
2013-12-16,11.23,11.43,11.15,11.19,1330000,11.19
2013-12-13,11.13,11.32,11.11,11.14,1681900,11.14
2013-12-12,11.35,11.51,11.07,11.09,1502500,11.09
2013-12-11,11.54,11.56,11.11,11.27,1483200,11.27
2013-12-10,11.61,11.75,11.41,11.52,1414300,11.52
2013-12-09,11.51,11.78,11.51,11.66,1367500,11.66
2013-12-06,11.41,11.49,11.23,11.47,1101200,11.47
2013-12-05,11.31,11.48,11.16,11.29,1429100,11.29
2013-12-04,11.07,11.57,11.02,11.34,3669300,11.34
2013-12-03,11.11,11.30,11.01,11.04,1781000,11.04
2013-12-02,11.43,11.51,11.04,11.14,2312500,11.14
2013-11-29,11.53,11.55,11.15,11.45,1665300,11.45
2013-11-27,10.53,11.50,10.44,11.50,5510100,11.50
2013-11-26,10.05,10.53,10.05,10.46,2764200,10.46
2013-11-25,10.19,10.20,9.88,10.05,2152200,10.05
2013-11-22,10.04,10.18,9.99,10.10,1250600,10.10
2013-11-21,9.80,10.11,9.80,10.06,1558900,10.06
2013-11-20,9.91,10.18,9.75,9.77,1710900,9.77
2013-11-19,10.02,10.15,9.87,9.88,2020500,9.88
2013-11-18,10.37,10.57,10.00,10.05,2326600,10.05
2013-11-15,10.28,10.57,10.19,10.35,2383600,10.35
2013-11-14,10.29,10.42,10.15,10.26,1687600,10.26
2013-11-13,9.97,10.31,9.95,10.30,1861300,10.30
2013-11-12,10.03,10.17,9.92,10.11,1868300,10.11
2013-11-11,10.03,10.16,9.90,10.07,1663500,10.07
2013-11-08,9.89,10.18,9.75,10.07,2432900,10.07
2013-11-07,10.25,10.28,9.82,9.86,3829500,9.86
2013-11-06,10.16,10.31,10.04,10.25,3475400,10.25
2013-11-05,10.12,10.28,9.99,10.15,4139500,10.15
2013-11-04,10.27,10.48,10.10,10.21,3748400,10.21
2013-11-01,10.61,10.77,10.31,10.32,4415100,10.32
2013-10-31,12.29,12.42,10.35,10.56,15227300,10.56
2013-10-30,13.22,13.44,12.68,12.98,3643900,12.98
2013-10-29,13.30,13.40,13.07,13.21,2586700,13.21
2013-10-28,13.83,13.91,13.01,13.25,2727100,13.25
2013-10-25,13.95,13.97,13.66,13.86,1007300,13.86
2013-10-24,13.63,14.10,13.62,13.93,1677600,13.93
2013-10-23,13.75,13.87,13.56,13.64,1823400,13.64
2013-10-22,13.85,14.10,13.52,13.84,3642500,13.84
2013-10-21,14.05,14.23,13.70,13.72,1979800,13.72
2013-10-18,14.26,14.35,14.01,14.04,1418300,14.04
2013-10-17,13.91,14.11,13.73,14.11,1288800,14.11
2013-10-16,13.90,14.10,13.85,14.03,1096500,14.03
2013-10-15,13.95,14.09,13.70,13.76,1232400,13.76
2013-10-14,13.93,14.14,13.76,14.04,910800,14.04
2013-10-11,13.63,14.17,13.63,14.01,1304100,14.01
2013-10-10,13.67,13.89,13.40,13.75,2584000,13.75
2013-10-09,13.48,13.56,12.88,13.17,2040800,13.17
2013-10-08,13.84,14.03,13.18,13.44,2681900,13.44
2013-10-07,13.95,14.18,13.81,13.87,1743600,13.87
2013-10-04,14.24,14.52,14.08,14.10,4930300,14.10
2013-10-03,14.41,14.75,14.04,14.28,1437000,14.28
2013-10-02,14.23,14.56,14.03,14.46,1049200,14.46
2013-10-01,14.12,14.47,14.12,14.35,1198000,14.35
2013-09-30,13.91,14.22,13.77,14.15,2022800,14.15
2013-09-27,14.20,14.24,13.97,14.13,1536300,14.13
2013-09-26,14.25,14.48,14.14,14.27,1315000,14.27
2013-09-25,14.31,14.50,14.14,14.27,1512000,14.27
2013-09-24,14.01,14.60,14.00,14.24,2490400,14.24
2013-09-23,14.26,14.68,13.83,14.03,2790100,14.03
2013-09-20,13.81,14.43,13.75,14.25,3700000,14.25
2013-09-19,13.61,13.91,13.59,13.72,1894400,13.72
2013-09-18,13.31,13.78,13.07,13.61,2524200,13.61
2013-09-17,13.14,13.41,13.06,13.32,1340000,13.32
2013-09-16,13.53,13.67,13.08,13.16,3084400,13.16
2013-09-13,12.69,13.34,12.68,13.27,2264100,13.27
2013-09-12,12.99,13.17,12.64,12.65,2236100,12.65
2013-09-11,12.58,12.95,12.54,12.91,2057300,12.91
2013-09-10,12.30,12.82,12.29,12.62,2699000,12.62
2013-09-09,11.80,12.28,11.72,12.20,1676900,12.20
2013-09-06,12.02,12.06,11.51,11.76,2791600,11.76
2013-09-05,12.19,12.41,11.96,11.97,1813200,11.97
2013-09-04,11.87,12.30,11.78,12.15,2027600,12.15
2013-09-03,12.28,12.36,11.81,11.90,2342900,11.90
2013-08-30,12.14,12.32,12.00,12.12,2986200,12.12
2013-08-29,11.90,12.23,11.90,12.16,1298400,12.16
2013-08-28,11.94,12.13,11.80,11.95,1737200,11.95
2013-08-27,12.10,12.25,11.88,11.94,2132100,11.94
2013-08-26,12.02,12.58,12.01,12.36,3406800,12.36
2013-08-23,11.72,11.95,11.58,11.94,1518700,11.94
2013-08-22,11.54,11.74,11.49,11.68,996400,11.68
2013-08-21,11.63,11.73,11.27,11.48,2009200,11.48
2013-08-20,11.59,11.84,11.53,11.74,1529800,11.74
2013-08-19,11.62,11.88,11.50,11.54,1458200,11.54
2013-08-16,11.91,12.06,11.55,11.63,2171400,11.63
2013-08-15,11.90,11.99,11.71,11.92,1882800,11.92
2013-08-14,12.08,12.22,11.97,12.08,1198600,12.08
2013-08-13,12.05,12.22,11.95,12.10,1224400,12.10
2013-08-12,12.15,12.37,12.02,12.07,2009700,12.07
2013-08-09,12.21,12.29,11.92,12.20,2763200,12.20
2013-08-08,12.01,12.30,11.96,12.19,2808100,12.19
2013-08-07,11.88,12.00,11.78,11.91,2076200,11.91
2013-08-06,12.25,12.35,11.82,12.00,3084800,12.00
2013-08-05,12.08,12.40,12.01,12.20,2828300,12.20
2013-08-02,12.23,12.38,11.75,12.13,22654900,12.13
2013-08-01,12.70,13.15,12.49,12.80,5344600,12.80
2013-07-31,12.98,13.79,12.95,13.31,4783200,13.31
2013-07-30,11.78,13.12,11.63,12.85,8538500,12.85
2013-07-29,11.15,11.19,10.64,10.86,2608400,10.86
2013-07-26,10.68,11.28,10.66,11.21,1406400,11.21
2013-07-25,10.95,11.05,10.55,10.78,1301600,10.78
2013-07-24,11.24,11.25,10.80,10.94,1620200,10.94
2013-07-23,11.61,11.70,11.18,11.22,1984800,11.22
2013-07-22,11.76,11.96,11.58,11.75,1170700,11.75
2013-07-19,11.87,11.87,11.42,11.77,2005100,11.77
2013-07-18,11.81,12.02,11.81,11.93,1406200,11.93
2013-07-17,11.97,12.01,11.72,11.80,1521600,11.80
2013-07-16,12.08,12.24,11.91,11.98,1211800,11.98
2013-07-15,11.90,12.28,11.90,12.11,1039800,12.11
2013-07-12,11.92,12.05,11.85,11.89,748600,11.89
2013-07-11,11.96,11.97,11.69,11.93,1588800,11.93
2013-07-10,11.85,12.00,11.62,11.71,1187400,11.71
2013-07-09,11.84,12.15,11.64,11.89,1413100,11.89
2013-07-08,11.61,12.00,11.61,11.75,1645400,11.75
2013-07-05,11.18,11.57,11.03,11.53,1035500,11.53
2013-07-03,10.99,11.15,10.86,11.02,291300,11.02
2013-07-02,11.44,11.51,11.01,11.08,1129400,11.08
2013-07-01,11.48,11.62,11.40,11.45,815100,11.45
2013-06-28,11.22,11.55,11.16,11.30,3006300,11.30
2013-06-27,11.07,11.35,11.02,11.30,1677000,11.30
2013-06-26,10.81,11.02,10.74,10.95,1061300,10.95
2013-06-25,10.63,10.76,10.48,10.67,929300,10.67
2013-06-24,10.62,10.66,10.15,10.48,1912500,10.48
2013-06-21,10.94,11.14,10.50,10.89,2740300,10.89
2013-06-20,11.68,11.77,10.75,10.84,1966700,10.84
2013-06-19,11.72,12.07,11.71,11.88,1348300,11.88
2013-06-18,11.78,11.95,11.71,11.74,1259800,11.74
2013-06-17,11.67,12.10,11.67,11.75,1636100,11.75
2013-06-14,11.82,11.90,11.54,11.56,1300600,11.56
2013-06-13,11.82,11.95,11.72,11.87,1341200,11.87
2013-06-12,12.27,12.30,11.79,11.85,1243100,11.85
2013-06-11,12.13,12.31,11.92,12.19,1289400,12.19
2013-06-10,12.38,12.47,12.19,12.37,1568600,12.37
2013-06-07,12.15,12.44,12.02,12.35,1546500,12.35
2013-06-06,12.03,12.13,11.66,12.01,1708800,12.01
2013-06-05,12.70,12.77,11.78,12.01,2170900,12.01
2013-06-04,13.09,13.35,12.75,12.75,1942700,12.75
2013-06-03,13.10,13.24,12.70,13.11,1939600,13.11
2013-05-31,12.95,13.26,12.76,13.03,2227600,13.03
2013-05-30,12.80,13.03,12.78,13.00,1513400,13.00
2013-05-29,13.05,13.20,12.60,12.81,2085800,12.81
2013-05-28,12.85,13.36,12.85,13.19,1747200,13.19
2013-05-24,12.61,12.66,12.28,12.60,917300,12.60
2013-05-23,12.28,12.95,12.15,12.75,1937700,12.75
2013-05-22,13.28,13.36,12.34,12.51,2680400,12.51
2013-05-21,13.13,13.49,13.12,13.28,1863400,13.28
2013-05-20,13.01,13.23,12.83,13.16,2380000,13.16
2013-05-17,13.26,13.34,12.67,12.90,4334800,12.90
2013-05-16,13.77,13.87,13.15,13.18,2567200,13.18
