SPY	S&P 500
QQQ	Nasdaq 100
MDY	S&P 400
IWM	Russell 1000
CRUS	Cirrus Logic
SCSS	Select Comfort
FNB	FNB Corporation
UFS	Domtar
RBCN	Rubicon Technology
ACN	Accenture
FNGN	Financial Engines
CBE	Cooper Industries
MNST	Monster Beverage
STX	Seagate
PMT	Pennymac
WCRX	Warner Chilcott plc
PSB	PS Business Parks
COF	Capital One
PHYS	Sprott Physical Gold Trust
MCP	Molycorp
SEM	Select Medical
BMC	BMC Software
PWER	Power One
EL	
DOV	Dover Corp
DX	Dynex Capital
ABC	AmerisourceBergen
KAI	Kadant
POWI	Power Integrations
LIFE	Life Technologies
HNZ	H.J. Heinz
OMX	OfficeMax
APKT	Acme Packet
WMS	Advanced Drainage Systems
AM	Automodular
ZIP	ZIPCAR
HOTT	
AVGO	Avago
CONN	Conn's
DG	Dollar General
FNSR	Finisar
KFY	Korn Ferry
MEI	Methode Electronics
MFRM	Mattress Firm
UTIW	UTi Worldwide
AGX	Argan Inc
IMKTA	
PTRY	
ADBE	
CNC	Centene
OMCL	Omnicell
RICK	RCI Hospitality
IRBT	iRobot
ARRS	Arris Group
FINL	
RHT	Red Hat
SHLO	Shiloh Industries
KBH	KB Home
LPSN	LivePerson
KNDI	Kandi Technolgies
RECN	Resources Connection
KKD	Krispy Kreme
EXPR	
AEO	American Eagle
BIG	Big Lots
FIVE	Five Below
IDT	IDT Corporation
SEAC	Seachange
EW	Edwards Lifesciences
GME	GameStop
PKT	Procera Networks
HGG	hhgregg
ALOG	Analogic
CASY	Casey's General Stores
LL	Lumber Liquidators
PBY	Pep Boys
PIR	Pier 1 Imports
LH	Laboratory Corp. of America
LULU	Lululemon Athletica
JBL	Jabil Circuit 
TIBX	TIBCO
PAY	VeriFone
AEGN	Aegion Corp
