Date,Open,High,Low,Close,Volume,Adj Close
2013-12-31,17.47,17.58,17.35,17.36,439900,17.36
2013-12-30,17.33,17.51,17.18,17.39,389100,17.39
2013-12-27,17.60,17.73,17.38,17.39,387000,17.39
2013-12-26,17.52,17.64,17.43,17.52,371200,17.52
2013-12-24,17.76,17.95,17.47,17.52,379100,17.52
2013-12-23,17.45,17.75,17.28,17.72,1028100,17.72
2013-12-20,16.96,17.43,16.92,17.40,1476300,17.40
2013-12-19,16.96,17.18,16.84,16.88,589700,16.88
2013-12-18,16.65,16.96,16.63,16.93,852000,16.93
2013-12-17,16.44,16.67,16.35,16.61,886600,16.61
2013-12-16,16.12,16.49,16.12,16.42,448900,16.42
2013-12-13,15.92,16.24,15.92,16.09,515300,16.09
2013-12-12,16.09,16.13,15.86,15.92,640400,15.92
2013-12-11,16.28,16.50,16.01,16.09,601000,16.09
2013-12-10,16.51,16.70,16.24,16.30,1071500,16.30
2013-12-09,16.10,16.67,16.10,16.49,1508500,16.49
2013-12-06,15.46,16.09,15.30,16.00,959100,16.00
2013-12-05,15.32,15.35,15.12,15.29,915400,15.29
2013-12-04,15.02,15.45,14.81,15.34,658100,15.34
2013-12-03,15.20,15.27,14.83,15.12,1974400,15.12
2013-12-02,15.68,15.80,15.18,15.26,1256800,15.26
2013-11-29,15.93,15.93,15.73,15.73,336900,15.73
2013-11-27,15.71,15.92,15.53,15.85,337100,15.85
2013-11-26,15.60,15.80,15.45,15.75,430900,15.75
2013-11-25,15.57,15.69,15.43,15.62,455200,15.62
2013-11-22,15.79,15.89,15.52,15.56,678400,15.56
2013-11-21,15.53,15.86,15.44,15.83,630800,15.83
2013-11-20,15.54,15.59,15.31,15.51,352400,15.51
2013-11-19,15.65,15.78,15.43,15.43,351300,15.43
2013-11-18,15.80,15.90,15.70,15.71,339600,15.71
2013-11-15,15.75,15.76,15.61,15.76,479200,15.76
2013-11-14,15.68,15.85,15.57,15.79,400700,15.79
2013-11-13,15.55,15.79,15.55,15.71,487600,15.71
2013-11-12,15.42,15.69,15.40,15.59,753200,15.59
2013-11-11,15.24,15.53,15.12,15.42,612300,15.42
2013-11-08,15.28,15.45,15.20,15.27,1391600,15.27
2013-11-07,15.69,15.78,15.27,15.29,1541800,15.29
2013-11-06,15.98,15.98,14.80,15.58,1472200,15.58
2013-11-05,15.59,15.64,15.03,15.04,1366000,15.04
2013-11-04,15.93,15.98,15.62,15.66,594700,15.66
2013-11-01,15.80,16.03,15.79,15.92,1158700,15.92
2013-10-31,15.80,15.88,15.68,15.81,819200,15.81
2013-10-30,15.80,15.92,15.72,15.79,1748500,15.79
2013-10-29,15.70,15.87,15.49,15.81,1025600,15.81
2013-10-28,15.69,15.75,15.59,15.63,405500,15.63
2013-10-25,15.72,15.75,15.60,15.68,433300,15.68
2013-10-24,15.37,15.70,15.35,15.61,389300,15.61
2013-10-23,15.46,15.53,15.24,15.36,508600,15.36
2013-10-22,15.76,15.89,15.52,15.55,624400,15.55
2013-10-21,15.78,15.81,15.62,15.74,639300,15.74
